name,name2,date,confirmed,deaths,new,active,healed
Moscow_Russia,RU-MOW,2020.05.03,68606,729,5948,60848,7029
Moscow_oblast_Russia,RU-MOS,2020.05.03,14136,111,822,13518,507
Saint_Petersburg_Russia,RU-SPE,2020.05.03,5029,34,295,3934,1061
Nizhegorodskaya_oblast_Russia,RU-NIZ,2020.05.03,2695,16,252,2333,346
Republic_of_Dagestan_Russia,RU-DA,2020.05.03,1798,13,136,1602,183
Murmansk_oblast_Russia,RU-MUR,2020.05.03,1694,4,238,1568,122
Krasnodarskiy_kray_Russia,RU-KDA,2020.05.03,1244,20,82,852,372
Tula_oblast_Russia,RU-TUL,2020.05.03,1218,8,83,1067,143
Rostov_oblast_Russia,RU-ROS,2020.05.03,1178,9,72,1057,112
Briansk_oblast_Russia,RU-BRY,2020.05.03,1148,9,86,863,276
Kaluga_oblast_Russia,RU-KLU,2020.05.03,1136,12,71,1016,108
Sverdlov_oblast_Russia,RU-SVE,2020.05.03,1091,1,75,964,126
Ryazan_oblast_Russia,RU-RYA,2020.05.03,1076,5,55,985,86
Leningradskaya_oblast_Russia,RU-LEN,2020.05.03,1037,3,62,846,188
Republic_of_Tatarstan_Russia,RU-TA,2020.05.03,1031,2,71,914,115
Republic_of_Bashkortostan_Russia,RU-BA,2020.05.03,1022,14,87,825,183
Republic_of_North_Osetia_-_Alania_Russia,RU-SE,2020.05.03,990,6,69,898,86
Kursk_oblast_Russia,RU-KRS,2020.05.03,928,4,67,798,126
Ingushetia_republic_Russia,RU-IN,2020.05.03,865,25,51,682,158
Vladimir_oblast_Russia,RU-VLA,2020.05.03,830,7,55,786,37
Republic_of_Mordovia_Russia,RU-MO,2020.05.03,808,3,43,708,97
Tambov_oblast_Russia,RU-TAM,2020.05.03,789,2,60,674,113
Krasnoyarskiy_kray_Russia,RU-KYA,2020.05.03,781,11,17,617,153
Republic_of_Chuvashia_Russia,RU-CU,2020.05.03,731,8,55,589,134
Stavropolskiy_kray_Russia,RU-STA,2020.05.03,731,15,55,581,135
Yaroslavl_oblast_Russia,RU-YAR,2020.05.03,710,5,76,606,99
Komi_republic_Russia,RU-KO,2020.05.03,676,5,20,564,107
Republic_of_Mariy_El_Russia,RU-ME,2020.05.03,668,4,40,267,397
Orel_oblast_Russia,RU-ORL,2020.05.03,662,7,68,544,111
Tver_oblast_Russia,RU-TVE,2020.05.03,661,3,51,584,74
Republic_of_Kabardino-Balkaria_Russia,RU-KB,2020.05.03,634,2,90,531,101
Cheliabinsk_oblast_Russia,RU-CHE,2020.05.03,631,2,63,560,69
Habarovskiy_kray_Russia,RU-KHA,2020.05.03,629,7,34,505,117
Novosibirsk_oblast_Russia,RU-NVS,2020.05.03,620,7,51,494,119
Orenburg_oblast_Russia,RU-ORE,2020.05.03,619,4,28,398,217
Yamalo-Nenetskiy_AO_Russia,RU-YAN,2020.05.03,608,3,51,476,129
Voronezh_oblast_Russia,RU-VOR,2020.05.03,602,9,37,480,113
Perm_oblast_Russia,RU-PER,2020.05.03,595,9,39,420,166
Saratov_oblast_Russia,RU-SAR,2020.05.03,585,3,50,487,95
Kirov_oblast_Russia,RU-KIR,2020.05.03,585,4,42,509,72
Chechen_republic_Russia,RU-CE,2020.05.03,553,8,28,259,286
Lipetsk_oblast_Russia,RU-LIP,2020.05.03,520,2,39,412,106
Samara_oblast_Russia,RU-SAM,2020.05.03,518,5,85,455,58
Pensa_oblast_Russia,RU-PNZ,2020.05.03,512,7,31,335,170
Smolensk_oblast_Russia,RU-SMO,2020.05.03,508,3,9,424,81
Ulianovsk_oblast_Russia,RU-ULY,2020.05.03,499,4,38,412,83
Altayskiy_kray_Russia,RU-ALT,2020.05.03,498,1,47,421,76
Tumen_oblast_Russia,RU-TYU,2020.05.03,495,3,37,331,161
Primorskiy_kray_Russia,RU-PRI,2020.05.03,494,4,39,424,66
Astrahan_oblast_Russia,RU-AST,2020.05.03,487,4,76,390,93
Kaliningrad_oblast_Russia,RU-KGD,2020.05.03,479,6,41,359,114
Volgograd_oblast_Russia,RU-VGG,2020.05.03,474,10,42,376,88
Ivanovo_oblast_Russia,RU-IVA,2020.05.03,456,4,22,365,87
Belgorod_oblast_Russia,RU-BEL,2020.05.03,454,5,35,390,59
Hanty-Mansiyskiy_AO_Russia,RU-KHM,2020.05.03,449,3,35,328,118
Republic_of_Karachaevo-Cherkessia_Russia,RU-KC,2020.05.03,430,2,18,406,22
Republic_of_Buriatia_Russia,RU-BU,2020.05.03,355,4,30,249,102
Novgorod_oblast_Russia,RU-NGR,2020.05.03,348,2,26,307,39
Kamchatskiy_kray_Russia,RU-KAM,2020.05.03,311,0,25,281,30
Republic_of_Kalmykia_Russia,RU-KL,2020.05.03,283,5,29,225,53
Saha_republic_Russia,RU-SA,2020.05.03,282,4,19,239,39
Republic_of_Hakassia_Russia,RU-KK,2020.05.03,272,7,6,243,22
Republic_of_Udmurtia_Russia,RU-UD,2020.05.03,271,9,27,206,56
Arkhangelsk_oblast_Russia,RU-ARK,2020.05.03,260,1,22,190,69
Kostroma_oblast_Russia,RU-KOS,2020.05.03,253,3,12,205,45
Vologda_oblast_Russia,RU-VLG,2020.05.03,219,0,20,151,68
Pskov_oblast_Russia,RU-PSK,2020.05.03,195,8,18,168,19
Republic_of_Adygeia_Russia,RU-AD,2020.05.03,178,6,10,96,76
Zabaykalskiy_kray_Russia,RU-ZAB,2020.05.03,167,0,12,114,53
Kemerovo_oblast_Russia,RU-KEM,2020.05.03,153,2,11,129,22
Irkutsk_oblast_Russia,RU-IRK,2020.05.03,150,4,20,88,58
Jewish_Autonomous_oblast_Russia,RU-YEV,2020.05.03,143,0,9,130,13
Omsk_oblast_Russia,RU-OMS,2020.05.03,127,3,11,97,27
